iter	Passed	Remaining
625	2427	1450
626	2430	1445
627	2432	1441
628	2435	1436
629	2438	1432
630	2441	1427
631	2444	1423
632	2447	1418
633	2449	1414
634	2451	1409
635	2454	1404
636	2457	1400
637	2460	1395
638	2462	1391
639	2465	1386
640	2468	1382
641	2470	1377
642	2473	1373
643	2475	1368
644	2477	1363
645	2479	1358
646	2482	1354
647	2486	1350
648	2489	1346
649	2491	1341
650	2494	1337
651	2496	1332
652	2499	1327
653	2501	1323
654	2504	1319
655	2507	1315
656	2510	1310
657	2514	1306
658	2516	1302
659	2518	1297
660	2520	1292
661	2523	1288
662	2525	1283
663	2527	1278
664	2529	1274
665	2532	1269
666	2536	1266
667	2538	1261
668	2540	1256
669	2542	1252
670	2547	1249
671	2549	1244
672	2551	1239
673	2554	1235
674	2558	1231
675	2560	1227
676	2563	1223
677	2566	1218
678	2568	1214
679	2572	1210
680	2574	1205
681	2576	1201
682	2580	1197
683	2582	1193
684	2584	1188
685	2587	1184
686	2589	1179
687	2591	1175
688	2593	1170
689	2596	1166
690	2598	1162
691	2600	1157
692	2603	1153
693	2605	1148
694	2607	1144
695	2610	1140
696	2612	1135
697	2614	1131
698	2616	1126
699	2619	1122
700	2621	1117
701	2624	1114
702	2627	1110
703	2629	1105
704	2632	1101
705	2634	1097
706	2636	1092
707	2638	1088
708	2640	1083
709	2644	1080
710	2647	1076
711	2650	1072
712	2653	1068
713	2656	1064
714	2665	1062
715	2671	1059
716	2675	1055
717	2677	1051
718	2679	1047
719	2681	1042
720	2683	1038
721	2686	1034
722	2688	1029
723	2690	1025
724	2694	1021
725	2696	1017
726	2698	1013
727	2700	1009
728	2702	1004
729	2705	1000
730	2707	996
731	2709	992
732	2711	987
733	2714	983
734	2717	979
735	2719	975
736	2721	971
737	2724	967
738	2726	962
739	2728	958
740	2730	954
741	2733	950
742	2735	946
743	2738	942
744	2740	938
745	2743	934
746	2745	929
747	2747	925
748	2750	921
749	2752	917
750	2754	913
751	2756	909
752	2759	905
753	2762	901
754	2764	897
755	2767	893
756	2769	888
757	2771	884
758	2773	880
759	2775	876
760	2778	872
761	2785	869
762	2787	865
763	2789	861
764	2792	857
765	2794	853
766	2796	849
767	2798	845
768	2801	841
769	2803	837
770	2807	833
771	2809	829
772	2811	825
773	2814	821
774	2816	817
775	2819	813
776	2821	809
777	2823	805
778	2825	801
779	2829	798
780	2831	794
781	2834	790
782	2836	786
783	2838	782
784	2840	778
785	2843	774
786	2845	770
787	2847	766
788	2849	762
789	2852	758
790	2856	754
791	2858	750
792	2861	746
793	2863	742
794	2865	738
795	2867	734
796	2869	730
797	2871	726
798	2875	723
799	2877	719
800	2879	715
801	2882	711
802	2884	707
803	2886	703
804	2888	699
805	2890	695
806	2893	691
807	2895	688
808	2898	684
809	2900	680
810	2902	676
811	2905	672
812	2907	668
813	2909	664
814	2911	660
815	2914	657
816	2916	653
817	2919	649
818	2921	645
819	2924	641
820	2926	638
821	2928	634
822	2930	630
823	2933	626
824	2935	622
825	2937	618
826	2939	614
827	2942	611
828	2948	608
829	2950	604
830	2952	600
831	2954	596
832	2957	592
833	2959	589
834	2961	585
835	2965	581
836	2967	577
837	2970	574
838	2972	570
839	2974	566
840	2976	562
841	2979	559
842	2981	555
843	2983	551
844	2987	547
845	2989	544
846	2991	540
847	2993	536
848	2996	532
849	2998	529
850	3000	525
851	3002	521
852	3005	517
853	3008	514
854	3010	510
855	3012	506
856	3015	503
857	3017	499
858	3019	495
859	3021	491
860	3024	488
861	3026	484
862	3028	480
863	3032	477
864	3034	473
865	3036	469
866	3039	466
867	3041	462
868	3043	458
869	3046	455
870	3048	451
871	3050	447
872	3054	444
873	3056	440
874	3059	437
875	3066	434
876	3068	430
877	3070	426
878	3073	423
879	3075	419
880	3078	415
881	3080	412
882	3083	408
883	3085	404
884	3087	401
885	3089	397
886	3092	393
887	3094	390
888	3096	386
889	3100	383
890	3103	379
891	3105	375
892	3107	372
893	3109	368
894	3111	365
895	3114	361
896	3116	357
897	3118	354
898	3121	350
899	3123	347
900	3125	343
901	3128	339
902	3131	336
903	3133	332
904	3135	329
905	3137	325
906	3139	321
907	3142	318
908	3145	314
909	3148	311
910	3150	307
911	3152	304
912	3154	300
913	3156	297
914	3159	293
915	3161	289
916	3163	286
917	3167	282
918	3169	279
919	3171	275
920	3173	272
921	3175	268
922	3177	265
923	3186	262
924	3188	258
925	3191	255
926	3193	251
927	3196	247
928	3198	244
929	3200	240
930	3202	237
931	3204	233
932	3206	230
933	3209	226
934	3211	223
935	3215	219
936	3217	216
937	3220	212
938	3222	209
939	3224	205
940	3227	202
941	3229	198
942	3232	195
943	3235	191
944	3238	188
945	3240	184
946	3242	181
947	3244	177
948	3246	174
949	3249	171
950	3251	167
951	3253	164
952	3257	160
953	3259	157
954	3261	153
955	3263	150
956	3265	146
957	3267	143
958	3270	139
959	3276	136
960	3278	133
961	3281	129
962	3283	126
963	3286	122
964	3288	119
965	3290	115
966	3292	112
967	3294	108
968	3297	105
969	3299	102
970	3302	98
971	3304	95
972	3306	91
973	3308	88
974	3311	84
975	3315	81
976	3317	78
977	3319	74
978	3321	71
979	3325	67
980	3327	64
981	3330	61
982	3332	57
983	3334	54
984	3337	50
985	3339	47
986	3341	44
987	3343	40
988	3346	37
989	3348	33
990	3350	30
991	3352	27
992	3355	23
993	3357	20
994	3359	16
995	3362	13
996	3364	10
997	3366	6
998	3370	3
999	3372	0
